id,name,description,price,category,brand,image,inStock,stockQuantity,prescriptionRequired,source,scraped_from,scraped_at
KA-94AB3D896A9B,GOLDEN GLOW VITAMIN C SHOWER BATH 1000ML,Quality GOLDEN GLOW VITAMIN C SHOWER BATH 1000ML from Kunle Ara Pharmacy,11000,supplements,Kunle Ara Pharmacy,https://storeappbc.z19.web.core.windows.net/kunleara/null.jpg,True,118,False,Complete Website Scraping,https://kunlearapharmacy.ng/shop,2026-01-08T00:17:14.692643
KA-BA490F16B9B3,AXCEL CETIRIZINE SYRUP  CETRIZINE 5MG 5ML  60ML X BOTTLE,Quality AXCEL CETIRIZINE SYRUP  CETRIZINE 5MG 5ML  60ML X BOTTLE from Kunle Ara Pharmacy,760,otc-medications,Kunle Ara Pharmacy,https://storeappbc.z19.web.core.windows.net/kunleara/null.jpg,True,47,False,Complete Website Scraping,https://kunlearapharmacy.ng/shop,2026-01-08T00:17:14.819513
KA-97BA71227684,JERGENS ORIGINAL SCENT CHERRY ALMOND 621ML IMPORTED,Quality JERGENS ORIGINAL SCENT CHERRY ALMOND 621ML IMPORTED from Kunle Ara Pharmacy,16500,prescription-drugs,Kunle Ara Pharmacy,https://storeappbc.z19.web.core.windows.net/kunleara/null.jpg,True,137,True,Complete Website Scraping,https://kunlearapharmacy.ng/shop,2026-01-08T00:17:14.991292
KA-8AC8743B77F1,ORIJIN ZERO NON -ALCOHOLIC CAN,Quality ORIJIN ZERO NON -ALCOHOLIC CAN from Kunle Ara Pharmacy,300,household,Kunle Ara Pharmacy,https://storeappbc.z19.web.core.windows.net/kunleara/null.jpg,True,131,False,Complete Website Scraping,https://kunlearapharmacy.ng/shop,2026-01-08T00:17:15.147406
KA-68146F7B65A6,IODINE TINCTURE 15ML  SOLFAM  X BOTTLE,Quality IODINE TINCTURE 15ML  SOLFAM  X BOTTLE from Kunle Ara Pharmacy,300,household,Kunle Ara Pharmacy,https://storeappbc.z19.web.core.windows.net/kunleara/null.jpg,True,65,False,Complete Website Scraping,https://kunlearapharmacy.ng/shop,2026-01-08T00:17:15.309586
KA-0ADDA409BC98,VIT A 10 000 IU NATURE FIELD X100 BOTTLE,Quality VIT A 10 000 IU NATURE FIELD X100 BOTTLE from Kunle Ara Pharmacy,7970,prescription-drugs,Kunle Ara Pharmacy,https://storeappbc.z19.web.core.windows.net/kunleara/null.jpg,True,45,True,Complete Website Scraping,https://kunlearapharmacy.ng/shop,2026-01-08T00:17:15.514522
KA-CA4A5BFCB219,10ML NEEDLE   SYRINGE X PC,Quality 10ML NEEDLE   SYRINGE X PC from Kunle Ara Pharmacy,60,household,Kunle Ara Pharmacy,https://storeappbc.z19.web.core.windows.net/kunleara/null.jpg,True,33,False,Complete Website Scraping,https://kunlearapharmacy.ng/shop,2026-01-08T00:17:15.712187
KA-1251B1463DE3,X-PRESSION RUWA BRAID COLOR 30,Quality X-PRESSION RUWA BRAID COLOR 30 from Kunle Ara Pharmacy,3580,otc-medications,Kunle Ara Pharmacy,https://storeappbc.z19.web.core.windows.net/kunleara/null.jpg,True,57,False,Complete Website Scraping,https://kunlearapharmacy.ng/shop,2026-01-08T00:17:15.939781
KA-C5E95C448781,BETASOL LOTION  CLOBETASOL PROPIONATE  30ML,Quality BETASOL LOTION  CLOBETASOL PROPIONATE  30ML from Kunle Ara Pharmacy,750,personal-care,Kunle Ara Pharmacy,https://storeappbc.z19.web.core.windows.net/kunleara/null.jpg,True,97,False,Complete Website Scraping,https://kunlearapharmacy.ng/shop,2026-01-08T00:17:16.133546
KA-C89D2D5CB03A,EPIDERM TRIPLE ACTION SKIN CREAM 30G X TUBE,Quality EPIDERM TRIPLE ACTION SKIN CREAM 30G X TUBE from Kunle Ara Pharmacy,750,personal-care,Kunle Ara Pharmacy,https://storeappbc.z19.web.core.windows.net/kunleara/null.jpg,True,140,False,Complete Website Scraping,https://kunlearapharmacy.ng/shop,2026-01-08T00:17:16.279090
